Auth Num,Longitude,Assigned,Inspected This Fiscal?,Authorization,Auth Type,Sector,Office,Last Inspected,IR Number,CPIX,Section,Primary Reason,Secondary Reason,Warning Follow-Up?,AMP Folllow-Up?,Rank,Workplan INS Qtr,25% Unique 4 yr?,Lat,Long,Last IR: Response,Autonumber,Nearest Municipality,Follow Up Date,Notes,High CPIX,Warning Follow-Up,Last IR - Recommended for Investigation,Last IR - Recommended for Order,Active Order,(Unique) Never Inspected,(Unique) Last Inspected before 2017-04-01,Last IR - Recommended AMP (but none initiated),AMP Final Detm'n Issued,Heavy Industry,Audit,PSP Priority,Authorizations - Name
100174,NA,Unassigned,Not Started,MACNUTT ENTERPRISES LTD.,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,2011-05-02,17,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,48.486886,-123.419536,Notice,1323,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100174 - MACNUTT ENTERPRISES LTD.
100176,NA,Unassigned,Not Started,CAPITAL REGIONAL DISTRICT,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,2013-03-19,8957,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,48.532284999999995,-123.457042,Notice,1324,Saanich,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100176 - CAPITAL REGIONAL DISTRICT
100177,NA,Unassigned,Not Started,MACNUTT ENTERPRISES LTD.,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,2013-03-04,8632,Low,NA,Warning Follow-Up,Unique,Yes,NA,Priority 4,NA,Yes,49.03029,-123.853926,Warning,1325,Ladysmith,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100177 - MACNUTT ENTERPRISES LTD.
100180,NA,Unassigned,Not Started,doing business as MICHELL FARMS,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,2012-11-28,6625,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,48.56545,-123.395119,Advisory,1326,Saanich,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100180 - doing business as MICHELL FARMS
100182,NA,Unassigned,Not Started,HAULMOR SAND & GRAVEL LTD.,Organic Matter Recycling Regulation,Composting Operations,Nanaimo,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,49.234792999999996,-124.807597,NA,1327,Port Alberni,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100182 - HAULMOR SAND & GRAVEL LTD.
100184,NA,Hunse,Not Started,ANDIAMO INVESTMENTS LTD.,Organic Matter Recycling Regulation,Composting Operations,Victoria,2013-12-31,1585,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,48.487749,-123.41797,Advisory,1328,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100184 - ANDIAMO INVESTMENTS LTD.
100192,-122.5145,Unassigned,Complete,GRANT HILL (GP) LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Surrey,1970-01-01,146738,High,NA,Warning Follow-Up,AMP Follow-Up,Yes,Yes,Priority 4,NA,NA,49.203829999999996,-122.51450000000001,AMP,1329,Maple Ridge,NA,NA,High CPIX,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100192 - GRANT HILL (GP) LTD.
100193,NA,Unassigned,Not Started,GFL ENVIRONMENTAL INC.,Operational Certificate,Municipal Solid Waste Management,Nanaimo,2020-01-09,144207,High,NA,NA,NA,NA,NA,Priority 4,NA,NA,48.482769999999995,-123.5013,Advisory,1330,Highlands,NA,NA,High CPIX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100193 - GFL ENVIRONMENTAL INC.
100200,NA,Unassigned,Not Started,TRUDEAU'S CUSTOM CUTTING LTD.,Permit,Wood Processing Industry - Primary,Surrey,2017-03-13,46315,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,49.892917,-123.274722,Advisory,1331,Squamish,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100200 - TRUDEAU'S CUSTOM CUTTING LTD.
100201,NA,Unassigned,Not Started,THE SUNSHINE VALLEY GOOD EARTH COMPANY LTD.,Organic Matter Recycling Regulation,Composting Operations,Kamloops,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,49.468914999999996,-120.505132,NA,1332,Merritt,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100201 - THE SUNSHINE VALLEY GOOD EARTH COMPANY LTD.
100206,NA,Unassigned,Not Started,REGIONAL DISTRICT OF FRASER-FORT GEORGE,Operational Certificate,Municipal Solid Waste Management,Prince George,2015-03-30,20087,Low,Planned,Unique,Inspected pre-2017,NA,NA,Priority 2,Q1,Yes,55.30569,-123.09700000000001,Advisory,1333,Prince George,NA,On North Auth Refresh list,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100206 - REGIONAL DISTRICT OF FRASER-FORT GEORGE
100207,NA,Unassigned,Not Started,CANADIAN NATURAL RESOURCES LIMITED,Permit,Municipal Solid Waste Management,Prince George,2019-08-15,137450,High,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,NA,NA,57.076,-120.64500000000001,Warning 120(7),1334,Fort St. John,NA,NA,High CPIX,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100207 - CANADIAN NATURAL RESOURCES LIMITED
100209,NA,Unassigned,Not Started,VILLAGE OF NAKUSP,Municipal Wastewater Regulation,Municipal Sewage Management,Nelson,2019-07-17,136889,Low,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,NA,NA,50.145545999999996,-117.493582,Warning Codes and Regs,1335,Nakusp,NA,NA,NA,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100209 - VILLAGE OF NAKUSP
100213,-117.6802,Story,Complete,INTEROUTE CONSTRUCTION LTD. doing business as SELKIRK PAVING LTD.,Asphalt Plant Regulation,Asphalt Plant Industry,Nelson,1970-01-01,150913,Medium,Planned,Unique,Never Inspected,NA,NA,Priority 2,Q1,Yes,49.228609999999996,-117.6802,Advisory,1336,Castlegar,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100213 - INTEROUTE CONSTRUCTION LTD. doing business as SELKIRK PAVING LTD.
100217,NA,Unassigned,Not Started,MAGNACHARGE BATTERY CORPORATION,Hazardous Waste Regulation,Hazardous Waste Management,0,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,49.16401,-122.9479,NA,1337,Delta,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100217 - MAGNACHARGE BATTERY CORPORATION
100218,-119.2909,Fraleigh,Complete,CITY OF SALMON ARM,Operational Certificate,0,Surrey,1970-01-01,147474,Medium,Planned,Unique,Never Inspected,NA,NA,Priority 2,Q1,Yes,50.7015,-119.29090000000001,Advisory,1338,Salmon Arm,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100218 - CITY OF SALMON ARM
100223,-120.305,Meldrum,Complete,NEW GOLD INC.,Permit,Mining and Coal Mining Industry,Kamloops,1970-01-01,147990,High,PSP,Heavy Industry,High CPIX,NA,NA,Priority 1,Q1,NA,50.3939,-120.305,Advisory,1339,Kamloops,NA,NA,High CPIX,NA,NA,NA,NA,NA,NA,NA,NA,Heavy Industry,NA,NA,100223 - NEW GOLD INC.
100224,-120.5194,Meldrum,Complete,NEW GOLD INC.,Permit,Mining and Coal Mining Industry,Kamloops,1970-01-01,147991,High,PSP,Heavy Industry,High CPIX,NA,NA,Priority 1,Q1,NA,50.656400000000005,-120.5194,Advisory,1340,Kamloops,NA,NA,High CPIX,NA,NA,NA,NA,NA,NA,NA,NA,Heavy Industry,NA,NA,100224 - NEW GOLD INC.
100225,NA,Unassigned,Not Started,doing business as RAINER CUSTOM CUTTING,Organic Matter Recycling Regulation,Composting Operations,0,NA,NA,Low,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,53.877660999999996,-122.77058,NA,1341,Delta,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100225 - doing business as RAINER CUSTOM CUTTING
100226,NA,C. White,Not Started,DENFORD SANITARY SERVICES LTD.,Municipal Wastewater Regulation,0,Penticton,NA,NA,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,50.90361,-119.46130000000001,NA,1342,Chase,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,NA,NA,100226 - DENFORD SANITARY SERVICES LTD.
100229,NA,Unassigned,Not Started,PINNACLE RENEWABLE ENERGY INC.,Permit,Wood Processing Industry - Primary,Prince George,2019-05-07,125200,Medium,NA,Warning Follow-Up,NA,Yes,NA,Priority 4,NA,NA,53.300974,-122.52429000000001,Warning 120(6),1343,Quesnel,NA,NA,NA,Warning Follow-Up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100229 - PINNACLE RENEWABLE ENERGY INC.
100230,-125.158248,Kurinka,Complete,LONDON ENTERPRISES LIMITED doing business as SONORA RESORT,Municipal Wastewater Regulation,Municipal Sewage Management,Nanaimo,1970-01-01,149371,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,50.383283,-125.158248,Advisory,1344,Campbell River,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100230 - LONDON ENTERPRISES LIMITED doing business as SONORA RESORT
100242,NA,Unassigned,Not Started,CM RECYCLING LTD. doing business as CARIBOO METAL RECYCLING,Hazardous Waste Regulation,Hazardous Waste Management,Victoria,2016-01-12,24846,Medium,Planned,Unique,Inspected pre-2017,NA,NA,Priority 4,Q1,Yes,52.9592,-122.44290000000001,Advisory,1345,Quesnel,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100242 - CM RECYCLING LTD. doing business as CARIBOO METAL RECYCLING
100248,NA,Unassigned,Not Started,GOOD HOPE CANNERY LTD.,Municipal Wastewater Regulation,Municipal Sewage Management,Nanaimo,2017-03-13,50235,Low,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,51.569700000000005,-127.51580000000001,Advisory,1346,Queen Charlotte City,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100248 - GOOD HOPE CANNERY LTD.
100249,NA,Unassigned,Not Started,SHEARWATER MARINE LIMITED,Municipal Wastewater Regulation,Municipal Sewage Management,Nanaimo,2013-10-28,12462,Low,Planned,Warning Follow-Up,Unique,Yes,NA,Priority 3,Q1,Yes,52.146300000000004,-128.0891,Warning,1347,Bella Bella,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100249 - SHEARWATER MARINE LIMITED
100251,NA,Unassigned,Close,NA,NA,NA,NA,NA,NA,NA,NA,Unique,NA,NA,NA,Priority 4,NA,Yes,56.1,-138,NA,1348,NA,NA,AMS = Land Remediation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100251 - NA
100256,NA,Unassigned,Not Started,VILLAGE OF CACHE CREEK,Municipal Wastewater Regulation,Municipal Sewage Management,Kamloops,2013-12-11,13862,Medium,Planned,Unique,MWR Focus,NA,NA,Priority 3,Q1,Yes,50.815549999999995,-121.3212,Notice,1349,Cache Creek,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,NA,NA,100256 - VILLAGE OF CACHE CREEK
100257,-120.9608,Meldrum,Complete,PEACE RIVER COAL INC.,Municipal Wastewater Regulation,Municipal Sewage Management,Prince George,1970-01-01,149454,Low,PSP,Heavy Industry,Unique,NA,NA,Priority 3,Q1,Yes,54.90777,-120.9608,Notice,1350,Tumbler Ridge,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,Heavy Industry,NA,NA,100257 - PEACE RIVER COAL INC.
100262,NA,Unassigned,Not Started,583021 B.C. LTD. doing business as WESTSIDE USED AUTO PARTS,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,0,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,50.666273,-119.229432,NA,1351,Kamloops,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100262 - 583021 B.C. LTD. doing business as WESTSIDE USED AUTO PARTS
100264,NA,Lynch,Not Started,BEE JAY AUTO WRECKING & TOWING LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Williams Lake,2013-02-14,7022,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,52.139179999999996,-122.15376,Notice,1352,Williams Lake,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,Vehicle Dismantling,NA,100264 - BEE JAY AUTO WRECKING & TOWING LTD.
100265,NA,Paterson,Not Started,A-GATEWAY AUTOWRECKING LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Surrey,2012-03-15,3869,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,49.105647999999995,-122.67310499999999,0,1353,Surrey,NA,NA,NA,NA,NA,NA,NA,NA,Pre 2017-04-01,NA,NA,NA,Vehicle Dismantling,NA,100265 - A-GATEWAY AUTOWRECKING LTD.
100266,NA,Devos,Not Started,ERNEST A. MAXWELL ENTERPRISES LTD. doing business as MAXWELLS NEW & USED AUTO & TRUCK PARTS,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Nanaimo,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,48.6787,-123.569,NA,1354,Duncan,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100266 - ERNEST A. MAXWELL ENTERPRISES LTD. doing business as MAXWELLS NEW & USED AUTO & TRUCK PARTS
100268,NA,Lasuik,Not Started,COLDSTREAM TRUCK PARTS LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Penticton,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,50.28136,-119.2749,NA,1355,Vernon,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100268 - COLDSTREAM TRUCK PARTS LTD.
100269,NA,Paterson,Not Started,STAVE FALLS AUTO WRECKING LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Surrey,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,49.220676999999995,-122.393913,NA,1356,Mission,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100269 - STAVE FALLS AUTO WRECKING LTD.
100271,NA,Unassigned,Not Started,EMPIRE USED AUTO PARTS (KAMLOOPS) LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,0,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,50.712289999999996,-120.4234,NA,1357,Kamloops,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100271 - EMPIRE USED AUTO PARTS (KAMLOOPS) LTD.
100272,NA,Devos,Not Started,B.C. AUTO WRECKING LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Nanaimo,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,49.0995,-123.89,NA,1358,Nanaimo,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100272 - B.C. AUTO WRECKING LTD.
100273,NA,Hunse,Not Started,CHAPMAN MOTORS LTD.,Vehicle Dismantling and Recycling Industry Environmental Planning Regulation,Vehicle Dismantling and Recycling Industry,Nanaimo,NA,NA,Low,NA,Vehicle Dismantling Audit,NA,NA,NA,Priority 4,NA,Yes,48.6835,-123.57300000000001,NA,1359,Duncan,NA,NA,NA,NA,NA,NA,NA,Never Inspected,NA,NA,NA,NA,Vehicle Dismantling,NA,100273 - CHAPMAN MOTORS LTD.
